reviewId,userName,content,reviewCreatedVersion,at,appVersion,app_category
c5db5597-7229-413c-81a9-e7d2c8143f61,Clint Isett,"The more they change this app, the worse it gets. I used to be able to check orders with a single tap but now I need to navigate through multiple menus. It's not worth the trouble.",30.4.0.100,2025-03-15 13:52:42,30.4.0.100,amazon
b5e15f53-48f2-4663-91cc-9451455ea2b3,Jason,Charging me for Prime when I did not ask for it whatsoever did not didn't have it didn't order it didn't confirm it didn't do anything Amazon applied that to me and then charged me for it,,2025-03-15 13:35:44,,amazon
060924fa-c845-4390-8b4d-8b5a443f87c9,Jesus Rodriguez,Delivery dates keep changing.... Miss the old days when you got your stuff you paid for in 2 days instead of a week or 2 eBay probably has better delivery dates than Amazon won't change rating or opinion of it until better services,30.5.0.100,2025-03-15 13:26:40,30.5.0.100,amazon
788edc46-37dc-4fd4-8c31-1bba952ea584,Marco Melendez,I had order a michael kors watch from Amazon and when I gotten the order I received an empty package witch I was in disbelief i mean who would ship just a box with no watch so I called customer service witch was no help I explain that when I opened package the watch was missing only box was there so they told me well it shows the package they made me file a police report and is refusing to give me a refund until the report is closed,30.5.0.100,2025-03-15 12:52:42,30.5.0.100,amazon
f9c2a967-2226-4b54-a028-8dc5a783a64e,Dewed G,Nice app but I archived it. It keeps turning itself on and sending spam notifications,,2025-03-15 12:46:13,,amazon
56327cdc-3e33-4a56-a2d5-5094d3307e1a,I AM,I don't like that I can't get a refund from the bank that they took the money from... I don't want no gift card balance ,30.4.0.100,2025-03-15 12:45:34,30.4.0.100,amazon
6cb451b8-001e-40ba-8b71-6880ebc51f6d,Angie M,constantly freezes or doesn't load orders or lists,30.5.0.100,2025-03-15 12:30:20,30.5.0.100,amazon
b359d2c7-2291-48e7-b854-869f39ff590a,Devin Hughes,"My issue is with Amazon themselves. they advertise next day delivery or 2 day outside of your prime subscription, yet do not honor these delivery times and often push your items out a week or more. recently, I noticed that they are listing items that are not even in stock and for updates, they just send repeated messages each day pushing that item back a day. It's completely frustrating and unreliable. Do not order high-priced items such as computers from them.",30.5.0.100,2025-03-15 12:25:51,30.5.0.100,amazon
59d7288d-a4da-4f25-aa53-c08d6f3a7f07,Jamshaid Khurram,Amazon is one of the worst compnay ever I found in the world customer service is non professionals wasted my 2 hours on chat no one solve my problems after 5 minutes new person comme not refunding my money not delivering my orders plz don't buy anything from here u will stuck in hell,30.5.0.100,2025-03-15 12:01:00,30.5.0.100,amazon
b43729d2-7ead-4eb7-a074-2f4e85d9e772,Hind Kassab,"Well it's a good app, but everytime I find something I like, it says this selected item can not be shipped to your country. But it's still a good app.",,2025-03-15 10:28:53,,amazon
806bebf8-e9f8-4a5f-a302-e0a747cb2eb3,Duy Dung,"Are you going to show ""Rufus"" helper on every single product view? Seriously?",30.5.0.100,2025-03-15 10:28:46,30.5.0.100,amazon
5d2d33bb-2a26-44be-a6de-f02985c1b229,Bartholomew Evans,"great shopping prices,discounts and offers",30.5.0.100,2025-03-15 09:08:31,30.5.0.100,amazon
5e2e4614-b2c8-46e4-b919-f53ffa8895d5,Henry Newton,"It's 2025 and the Amazon app doesn't even have dark theme for users. Come on y'all, please give us a dark theme.",30.5.0.100,2025-03-15 07:27:12,30.5.0.100,amazon
9ed51b7d-d75f-42a8-84ce-328611113fde,Angela Mazerolle,Best app to shop on and the best prices,30.4.0.100,2025-03-15 05:53:57,30.4.0.100,amazon
5bfe1e3a-2197-448b-98ac-e5cc20e6dbec,Laetisha Nel,The app looks so low budget compared to Takelot ...,30.5.0.100,2025-03-15 05:06:00,30.5.0.100,amazon
e1bd38b1-52dc-45ba-89c8-bfebdcfedcef,Teresa McCard,Amazon has so many varieties to choose from!,30.4.0.100,2025-03-15 04:44:45,30.4.0.100,amazon
8ee0b668-0d0a-4858-9b31-7ccb2bdd943c,Alec Schaffer,garbage delivery service even with prime,30.5.0.100,2025-03-15 04:09:06,30.5.0.100,amazon
755d6cf1-d96d-46d3-acca-2067ba94d05c,Thomas L Dobbins,Amazon has been a blessing for me and my family... Thank you,30.5.0.100,2025-03-15 03:31:44,30.5.0.100,amazon
05ca7aef-96a2-4e1c-8584-48e53ae8234c,alfred morgan,new customer to shop online for everything,,2025-03-15 02:45:44,,amazon
c300a6df-d6e1-47d0-b0ac-be60a3e76c19,Kim Graves,most reliable source out there,30.5.0.100,2025-03-15 02:04:18,30.5.0.100,amazon
1e29bf71-23a7-4733-be7f-2e0412161b7a,Ausiris Tehuty,"Make rufus optional... or opt in. I used to spend hours on the app, researching products before buying, but now I need to swipe away the ""a.i."" suggestions on every product page. I barely use the app now, it's so annoying. Stop shoving garbage, fake a.i., machine learning products down our throat, or at the very least, let us disable them. I spent an hour with support, as a Prime customer, asking how to disable rufus, and no one had an answer, despite being transferred between multiple people.",30.4.0.100,2025-03-15 02:03:45,30.4.0.100,amazon
668af844-ee04-4fcb-9799-4dbff37fbc2c,Jorge Picado,Best in class shopping app and customer service.,30.5.0.100,2025-03-15 02:03:03,30.5.0.100,amazon
65963046-013d-42fe-a8f8-894ed1e310a8,Allison Johnson,I've been waiting for my deliveries since 02/25! What's wrong with Amazon deliveries?,26.13.0.100,2025-03-15 01:06:11,26.13.0.100,amazon
031cb89b-6a85-4e54-89b1-6e580ddab110,Amanda Terrazas,"HORRIBLE SHIPPING NOW ! We PAY all this MONEY for ""2DAY SHIPPING"" or ""NEXT DAY"" or ORDER WITHIN and get it later. And NOT ONCE get it WHEN NEEDED. You guys WENT DOWN HILL FAST",30.5.0.100,2025-03-15 01:00:06,30.5.0.100,amazon
c8beedb3-d8d8-4e88-966f-23f1a54dae10,Pedro Garcia,Good quality socks I like them,30.5.0.100,2025-03-15 00:08:31,30.5.0.100,amazon
a88cd2b6-693f-4deb-8003-289cd35cc6dc,William Morrow,Best way to shop,30.5.0.100,2025-03-14 12:45:27,30.5.0.100,amazon
99054d02-fd08-4437-b3b4-01797bf56d6c,Zenaida Delgado,I was a customer for almost 10yrs. My account was stole and all I was told was make a new one. There was zero effort to try to solve the problem. Do better amazon!!,28.12.0.100,2025-03-14 11:47:00,28.12.0.100,amazon
4383ea76-6288-46b1-97bd-5bf1b191b5db,Derek Euchner,"March 2025....where the heck is the button to show my orders?! I just want to check my account or orders! why do they keep hiding the basics!? I've started to move away from amazon, and this attempt at...streamlining??? leaves me making the change faster. I now go to mouser for my electronic components among other things.",30.5.0.100,2025-03-14 11:29:01,30.5.0.100,amazon
eb94d150-baff-4218-989a-5dbd3727295d,Arthur Melin,Keeps nagging you to get prime each time you open it,30.5.0.100,2025-03-14 11:10:56,30.5.0.100,amazon
5a7570c6-069e-4875-a2d6-e84847fc4b21,Jubei Roku,"Don't like the new change just to see orders and list, too many steps",30.4.0.100,2025-03-14 10:51:17,30.4.0.100,amazon
4d0f67f9-9541-4213-85ea-2aa334b4005e,R.I.C.K,Update Review: Finally the app has sped up and is now loading faster and working better than it has done.,30.5.0.100,2025-03-14 10:40:48,30.5.0.100,amazon
